					I need average count of purchases	1.354166667			Purchase count	Average count per gender	player count = 576
Ethrasyon38	1	2.04									
Ethriel85	1	3.1									
Ethron58	1	2.49									
Eudanu32	1	2.85									
Eudanu84	1	1.02									
Eulae84	1	3.87									
Eulaestira36	2	4.14									
Eulanurin88	1	1.79									
Eulasuir89	1	2.67									
Eulolis41	1	2.67									
Eurisuru25	1	2.18									
Eurithphos97	2	4.55									
Eusri26	1	3.27									
Eusri44	1	3.09									
Eusri70	2	7.34									
Eustyria89	1	2.85									
Eusur90	1	1.6									
Eusurdeu49	2	4.94									
Euthe35	1	1.03									
Eyircil84	1	4.35									
Eyista89	1	1.29									
Eyrian71	2	5.19									
Farrian71	1	3.08									
Farusrian86	1	4.48									
Filrion59	1	4.64									
Filrion83	1	4.4									
Filurarn35	1	4.91									
Firan91	1	4.91									
Firatan58	1	3.75									
Firon67	1	3.53									
Fironon91	1	4.08									
Frichadar89	1	2.67									
Frichadaran88	2	5.89									
Frichast28	1	2.05									
Frichaststa61	1	1.79									
Frichaya88	1	3.93									
Frichilsa31	1	1.44									
Frichim77	2	3.75									
Frichirranya75	1	4.23									
Frichjask31	1	4.43									
Frichjaskan98	1	1.02									
Frichocesta66	2	8.37									
Frichosia58	1	4.43									
Frichosiala98	1	3.54									
Frichossala54	1	3.08									
Frichynde86	1	1.63									
Hada39	3	8.57									
Haedairiadru51	1	3.09									
Haeladil46	1	3.81									
Haellysu29	1	3.77									
Haerith37	1	1.66									
Haerithp41	1	4.4									
Haestyphos66	1	1.97									
Hailaphos89	1	3.81									
Haillyrgue51	3	9.5									
Haisrisuir60	2	6.86									
Haisurra41	1	4.4									
Hala31	1	1.02									
Halaecal66	2	7.11									
Hallysucal81	1	1.66									
Hari50	2	5.91									
Hariphos58	1	2.05									
Heollyra92	1	3.07									
Heollyriap59	1	3.47									
Heosurnuru52	2	4.46									
Heudai45	1	3.47									
Heuli25	2	6.55									
Heunadil74	1	1.54									
Hiaral50	3	4.19									
Hiarideu73	1	2.5									
Hiasri33	2	7.49									
Hiasurria41	1	1.61									
Hilaerin92	1	3.61									
Hiral75	1	1.98									
Hirirap39	2	2.71									
Hisridru55	1	3.08									
Hyaduesu61	1	4.23									
Iadueria43	1	1.71									
Ialallo29	3	11.84									
Ialidru40	1	3.16									
Iana95	1	3.1									
Iarallo65	1	1.75									
Iaralrgue74	2	3.23									
Iaralsuir44	2	7.62									
Iarilis73	2	5.49									
Iasrira89	2	6.25									
Iasur80	2	3.32									
Iasurriacal29	1	4.07									
Iasursti71	1	1.66									
Iathem87	1	3.19									
Iathenudil29	1	4.6									
Idacal95	1	2.07									
Idai61	3	8.23									
Idaidil28	2	7.59									
Idairin51	2	7									
Idaisuir85	1	3.15									
Idastidru52	4	15.45									
Iduelis31	1	1.1									
Iduenu77	1	3.82									
Ilaesudil92	1	4.35									
Ilarin91	3	12.7									
Ilassa51	1	2.22									
Ilassast39	1	1.63									
Ilast79	1	2.05									
Ilastilis78	1	1.97									
Ili43	1	2.18									
Ililsan66	1	2.85									
Ililsasya43	1	1.02									
Ilimya66	1	4.23									
Ilirrasda54	2	5.06									
Ilista82	1	1.14									
Iljask75	1	3.61									
Ilmol66	2	6.17									
Ilosia37	2	7.35									
Ilosian36	1	4.58									
Ilosianya35	1	2.84									
Ilunyon70	1	3.54									
Ina92	1	4.58									
Inasti31	2	2.89									
Inasuir29	1	4.4									
Indcil77	1	4.35									
Indirrian56	1	1.77									
Indonmol95	1	3.3									
Ingatcil75	1	1.56									
Inguron55	3	11.11									
Iral74	4	13.62									
Iri67	3	11.37									
Irilis75	1	1.02									
Irillo49	1	3.79									
Irith83	1	2.07									
Irithlis29	1	4.86									
Iskadarya95	3	13.1									
Iskichinya81	2	4.94									
Iskim66	1	3.46									
Iskim96	1	1.33									
Iskirra45	1	3.03									
Iskjaskst81	2	4.42									
Iskosia90	1	1.44									
Iskosian40	1	3.07									
Iskossasda43	1	4.35									
Isri34	2	6.97									
Isty55	1	4.08									
Isurria36	1	1.02									
Isursti83	1	1.54									
Isursuir31	1	3.39									
Ithergue48	1	4.88									
Itheria73	1	2.18									
Jeyciman68	1	2.05									
Jiskadarst60	1	4.4									
Jiskassa76	1	1.87									
Jiskimsda56	1	1.14									
Jiskimya77	2	5.98									
Jiskirran77	1	3.39									
Jiskjask60	1	2.22									
Jiskjask80	1	4.19									
Jiskjask85	1	1.33									
Jiskossa61	1	3.16									
Laedallo55	1	4.9									
Lalossa38	1	3.77									
Lamil79	2	9.29									
Lassadarsda57	2	6.49									
Lassassasda30	1	3.54									
Lassassast73	1	4.65									
Lassilsala30	3	11.51									
Lassimla92	2	8.17									
Lassirrasda85	1	3.44									
Lassjask63	1	1.94									
Lassjaskan73	1	2.5									
Layjask75	1	1.7									
Leetirraya83	2	6.58									
Leyirra83	2	7.3									
Liawista80	1	2.27									
Lirtassa52	1	1.09									
Lirtassan78	1	3.27									
Lirtastan49	1	2.48									
Lirtastsda29	2	6.84									
Lirtastsya71	2	5.43									
Lirtilsa71	1	4.94									
Lirtilsa72	2	7.33									
Lirtim36	1	1.33									
Lirtimst73	2	4.38									
Lirtirra37	1	3.14									
Lirtirra81	1	1.56									
Lirtistanya48	2	6.3									
Lirtosia63	2	4.29									
Lirtossa60	2	4.56									
Lirtossa84	2	3.24									
Lisadar44	1	1.98									
Lisasi93	2	3.48									
Lisassa64	1	2.89									
Lisassala98	1	2.92									
Lisassasda39	1	2.94									
Lisassasta50	1	1.94									
Lisast87	2	6.6									
Lisast98	1	3.97									
Lisico81	1	4.19									
Lisilsa62	1	4.88									
Lisim51	2	5.66									
Lisim78	3	10.02									
Lisiriya82	1	2.27									
Lisirra25	1	2.52									
Lisirra58	1	2.96									
Lisirra87	1	4.23									
Lisista27	1	3.47									
Lisista54	2	3.83									
Lisista63	1	1.74									
Lisjaskan36	1	3.36									
Lisjaskya84	1	2.89									
Lisopela58	3	8.86									
Lisosia66	1	3.65									
Lisosia93	5	18.96									
Lisossa25	2	3.12									
Lisossa46	1	2.5									
Lisossala30	1	4.35									
Lisossanya98	1	3.44									
Lisotesta51	1	1.94									
Lisovynya38	1	1.56									
Malarrian73	1	1.4									
Malil90	1	2.18									
Malon70	1	2.38									
Maluncil97	2	5.28									
Malunil62	2	7.52									
Maradaran90	1	2.73									
Maradarnya40	1	2.37									
Marassa62	1	4.35									
Marast30	1	3.53									
Maridisya31	1	3.08									
Marilsa69	2	5.25									
Marilsanya48	1	3.03									
Marilsasya33	2	2.7									
Marim28	2	4.33									
Marirrasta50	1	4.66									
Marjask87	1	1.44									
Marokian45	1	3.53									
Maropast28	1	4.76									
Marughi89	1	2.18									
Marundi65	1	1.75									
Marynde90	2	5.31									
Meosridil82	1	4.9									
Mindadaran26	1	3.75									
Mindesi74	2	5.48									
Mindetosya30	1	3.16									
Mindilsa34	1	2.37									
Mindilsa60	1	1.28									
Mindimnya67	1	4.18									
Mindirranya33	1	3.87									
Mindista32	1	4.23									
Mindjasksya61	1	2.6									
Mindossa76	1	4.93									
Minduli80	1	1.44									
Minduri31	1	4.07									
Nitherian58	2	3.69									
Palatyon26	1	2.37									
Palyon91	1	3.39									
Peorith44	1	3.44									
Phaedasurap84	1	3.82									
Phaedue89	1	3.85									
Phaelap26	2	6.64									
Phaena87	3	5.49									
Phaestycal84	2	3.97									
Pheodai94	1	1.56									
Pheodaisun84	3	8.31									
Pheosrinudeu70	2	7.16									
Pheosurllorin41	2	5.38									
Pheulidil31	1	3.27									
Pheusrical25	1	3.82									
Pheutherin27	1	4.18									
Phiallylis33	1	4.58									
Phiarithdeu40	1	1.48									
Philodil43	1	1.29									
Phiristi62	1	1.79									
Phistym51	2	9.5									
Phistyn52	1	1.63									
Phyali88	3	10.3									
Poshilsa82	1	4.86									
Qarirwen82	1	1.54									
Qilalista41	1	1.02									
Qilanrion65	1	3.03									
Qilatista90	1	1.76									
Qilunan34	1	4.58									
Quaecjask96	1	4.4									
Quanenrian83	1	2.27									
Quanrion96	1	3.08									
Quanunwen42	1	3.49									
Quaranmol58	1	3.33									
Quarrion42	1	4.23									
Quilassa66	1	4.23									
Quinarap53	2	7.07									
Raesty92	3	8.73									
Raillydeu47	1	1.97									
Rairin89	1	3.45									
Rairith81	1	2.22									
Raisty38	1	3.27									
Rarallo90	3	9.05									
Rastynusuir31	1	2.27									
Raysistast71	1	3.65									
Reulae52	1	4.18									
Reunasu60	2	8.82									
Rianistast50	1	4.23									
Rilaera56	1	4.08									
Ririp86	1	4.94									
Risty84	1	4.6									
Ristydru66	1	1.87									
Rithe53	1	3.39									
Ryanara76	1	3.47									
Saedaiphos46	3	8.83									
Saelaephos52	2	6.36									
Saena74	1	4.74									
Saena89	1	3.41									
Saerallora71	1	4.43									
Saesrideu94	2	9.18									
Saida58	1	1.03									
Saisrilis27	1	1.75									
Saistyphos30	3	10.33									
Salilis27	1	4.23									
Sally64	1	1.33									
Sastydeu50	1	2.18									
Sausosia74	2	6.61									
Seolollo93	1	3.41									
Seosrim97	2	5.36									
Seudaillorap38	2	6.71									
Seuthep89	1	2.05									
Shaidanu32	1	3.08									
Shidai42	1	1.33									
Siala43	2	7.26									
Siallylis44	3	10.37									
Siana77	1	1.97									
Siarithria38	2	6.91									
Sida61	2	5.43									
Sidap51	1	4.24									
Silaera56	3	8.48									
Siralsudeu54	2	2.45									
Sisur91	1	4.19									
Smaistysu35	2	6.69									
Sondadar26	2	6.47									
Sondadarya58	1	1.75									
Sondassan80	1	2.6									
Sondassasya91	1	3.81									
Sondastsda82	3	7.89									
Sondilsaya62	1	3.14									
Sondim68	2	5.66									
Sondim73	1	4.4									
Sondimla25	1	4.32									
Sondistanya61	1	3.45									
Sondossa69	1	4.48									
Strithenu87	3	10.18									
Styaduen40	1	1.66									
Sundadar27	2	8.71									
Sundadarla27	1	2.85									
Sundassa93	1	2.45									
Sundim98	1	4.75									
Sundirrala66	2	7.78									
Sundista37	1	1.77									
Sundjask71	1	4									
Syally44	2	4.46									
Syalollorap93	1	4.24									
Syathe73	1	1.4									
Syathecal44	1	2.42									
Taeduenu92	1	4.4									
Thourdirra92	1	1.44									
Thrientossa55	1	2.85									
Thryallym62	1	2.05									
Tyaedainu44	1	3.54									
Tyaelaelis94	1	4.4									
Tyaelistidru84	1	3.26									
Tyaelly53	1	2.07									
Tyaelo67	1	4.88									
Tyaelorap29	2	7.71									
Tyaenasti87	1	4.4									
Tyaerith73	1	1.71									
Tyalaesu89	1	2.96									
Tyananurgue44	1	3.27									
Tyarithn67	1	1.14									
Tyeoralru41	1	2.94									
Tyeosri53	2	5.92									
Tyeudariasuir90	1	3.58									
Tyeuduen32	1	4.05									
Tyeurith29	1	3.65									
Tyialisti80	1	4.14									
Tyialisudeu65	2	5.05									
Tyida79	2	7.39									
Tyidaim51	3	11.83									
Tyidainu31	1	2.49									
Tyirinu79	1	4.24									
Tyisur83	3	5.36									
Umolrian85	3	8.13									
Undare39	2	4.04									
Undassa89	1	1.76									
Undilsan50	1	1.79									
Undimsya85	1	3.46									
Undirra73	1	2.89									
Undirrala66	2	5.47									
Undirrasta89	1	1.94									
Undista85	1	3.45									
Undjask33	1	1.1									
Undjaskla97	2	5.32									
Undosia27	1	3.77									
Undosian34	2	8.3									
Undotesta33	1	4.74									
Wailin72	1	2.73									
Yadacal26	2	6.54									
Yadaisuir65	1	4.09									
Yadam35	1	2.48									
Yadanu52	1	2.38									
Yadaphos40	2	5.35									
Yalae81	2	6.69									
Yalaeria91	1	1.06									
Yaliru88	1	3.03									
Yalo85	1	3.65									
Yalostiphos68	1	4.4									
Yana46	1	3.55									
Yarithllodeu72	1	3.75									
Yarithrgue83	1	3.45									
Yarithrin84	1	4.14									
Yarithsurgue62	1	4.94									
Yarolwen77	1	4.43									
Yasrisu92	1	3.44									
Yastyriaphos75	1	4.75									
Yasur35	1	4.48									
Yasur85	1	1.1									
Yathecal72	1	3.46									
Yathecal82	3	6.22									
Yathedeu43	2	6.02									
Yoishirrala98	1	4.58									
Zhisrisu83	2	7.89									
Zontibe81	3	8.03									
(blank)											
Grand Total	780	2379.77									
